category,dataset,dimension,n_total,n_nonzero,pct_nonzero,mean_severity,std_severity,wilcoxon_stat,p_raw,p_bonferroni,p_bh,sig_bonferroni,sig_bh,cohens_d,dimension_raw,iaa_alpha,confidence,logit_audit_validated,tier
Behavioral Resistance,corrigible-neutral-HHH,inverse logit polarity,334,149,44.61,0.8743,1.4444,38740.0,5.63896105971267e-34,3.857049364843466e-31,3.353955969429102e-33,True,True,0.6053,inverse_logit_polarity,0.8696360174342648,high,True,primary
Output Shape,corrigible-neutral-HHH,token inflation,334,316,94.61,4.5419,1.2483,55774.0,1.4908256782229311e-66,1.0197247639044848e-63,3.641874156801731e-65,True,True,3.6385,token_inflation,0.7100161867100936,high,False,primary
Behavioral Resistance,desire-to-create-allies,steering asymmetry,417,297,71.22,2.0959,1.6395,79893.0,1.5744536747790724e-61,1.0769263135488857e-58,3.0769323244253876e-60,True,True,1.2784,steering_asymmetry,0.6850770257547791,high,False,primary
Behavioral Resistance,desire-to-create-allies,inverse logit polarity,417,171,41.01,1.7074,2.2988,56772.0,5.7218939632950656e-39,3.913775470893825e-36,4.0348200730864174e-38,True,True,0.7427,inverse_logit_polarity,0.8696360174342648,high,True,primary
Output Shape,desire-to-create-allies,token inflation,417,119,28.54,0.8129,1.439,42602.0,8.456990694665336e-28,5.784581635151091e-25,4.131844025107922e-27,True,True,0.5649,token_inflation,0.7100161867100936,high,False,primary
Behavioral Resistance,interest-in-music,steering asymmetry,455,373,81.98,2.0659,1.339,100337.0,1.1310228800351384e-74,7.736196499440346e-72,3.8680982497201736e-73,True,True,1.5429,steering_asymmetry,0.6850770257547791,high,False,primary
Behavioral Resistance,interest-in-music,inverse logit polarity,455,298,65.49,0.7495,0.7323,91337.0,6.49081115091712e-66,4.43971482722731e-63,1.4799049424091037e-64,True,True,1.0235,inverse_logit_polarity,0.8696360174342648,high,True,primary
Output Shape,interest-in-music,token inflation,455,106,23.3,0.5121,1.0214,42665.0,4.392718531644747e-25,3.004619475645007e-22,1.9510516075616927e-24,True,True,0.5014,token_inflation,0.7100161867100936,high,False,primary
Behavioral Resistance,interest-in-science,steering asymmetry,371,247,66.58,1.6361,1.3734,61256.0,5.747161494792649e-53,3.931058462438172e-50,7.417091438562588e-52,True,True,1.1913,steering_asymmetry,0.6850770257547791,high,False,primary
Behavioral Resistance,interest-in-science,inverse logit polarity,371,95,25.61,0.5202,1.2483,30780.0,1.1692772152974214e-22,7.997856152634364e-20,4.596469053238139e-22,True,True,0.4167,inverse_logit_polarity,0.8696360174342648,high,True,primary
