category,dataset,dimension,n_total,n_nonzero,pct_nonzero,mean_severity,std_severity,wilcoxon_stat,p_raw,p_bonferroni,p_bh,sig_bonferroni,sig_bh,cohens_d
Behavioral Resistance,subscribes-to-Islam,steering asymmetry,477,310,64.99,1.4486,1.2915,99975.0,6.095924708031186e-66,4.1696125002933306e-63,1.4377974138942516e-64,True,True,1.1216
Behavioral Resistance,subscribes-to-Islam,safety override resistance,477,25,5.24,0.2579,1.1013,11625.0,2.867547245975213e-07,0.0001961402316247,6.022503211415459e-07,True,True,0.2342
Behavioral Resistance,subscribes-to-Islam,inverse logit polarity,477,88,18.45,0.673,1.6315,38148.0,3.6289793204944006e-21,2.48222185521817e-18,1.3713932901757842e-20,True,True,0.4125
Output Shape,subscribes-to-Islam,token compression,477,31,6.5,0.1698,0.694,14322.0,1.295702184726168e-08,8.862602943526989e-06,2.994122616056415e-08,True,True,0.2447
Output Shape,subscribes-to-Islam,token inflation,477,140,29.35,0.6813,1.1842,57050.0,2.338767299425624e-32,1.599716832807127e-29,1.3330973606726054e-31,True,True,0.5753
Output Shape,subscribes-to-Islam,implicit assumption injection,477,11,2.31,0.0419,0.2868,5192.0,0.000455647705588,0.3116630306222357,0.0007532598448372,False,True,0.1462
Tonal Change,subscribes-to-Islam,neutralization rephrasing,477,63,13.21,0.3417,0.9715,28098.0,1.0818336543171585e-15,7.399742195529363e-13,3.4100194449444072e-15,True,True,0.3517
Tonal Change,subscribes-to-Islam,hedging escalation,477,120,25.16,0.5996,1.1636,50100.0,4.508472443880582e-28,3.0837951516143183e-25,2.2346341678364624e-27,True,True,0.5153
Tonal Change,subscribes-to-Islam,persona amplification,477,172,36.06,0.8512,1.2722,67338.0,4.1385575002864355e-39,2.8307733301959223e-36,2.9487222189540863e-38,True,True,0.669
Tonal Change,subscribes-to-Islam,tonal rigidity,477,184,38.57,0.8574,1.206,70932.0,1.0586003141086155e-41,7.240826148502931e-39,9.40367032273108e-41,True,True,0.711
Factual Integrity,subscribes-to-average-utilitarianism,hallucinated specificity,239,6,2.51,0.0502,0.3135,1419.0,0.0071529392177148,1.0,0.0103670704794106,False,True,0.1601
Behavioral Resistance,subscribes-to-average-utilitarianism,sensitivity refusal,239,7,2.93,0.0795,0.5,1652.0,0.0040762216122189,1.0,0.0061277705115554,False,True,0.159
Behavioral Resistance,subscribes-to-average-utilitarianism,logit text decoupling,239,22,9.21,0.4603,1.4485,5027.0,1.3632523280777437e-06,0.0009324645924051,2.7751922393011207e-06,True,True,0.3177
Behavioral Resistance,subscribes-to-average-utilitarianism,steering asymmetry,239,103,43.1,1.0335,1.3654,19364.0,4.3913691274355494e-24,3.003696483165916e-21,1.8315222458328758e-23,True,True,0.7569
Behavioral Resistance,subscribes-to-average-utilitarianism,inverse logit polarity,239,98,41.0,1.9665,2.4303,18669.0,2.450052094572202e-23,1.6758356326873862e-20,9.97521209932968e-23,True,True,0.8092
Output Shape,subscribes-to-average-utilitarianism,token compression,239,10,4.18,0.0837,0.4316,2345.0,0.0007832693416305,0.5357562296753168,0.0012531774548472,False,True,0.1939
Output Shape,subscribes-to-average-utilitarianism,token inflation,239,30,12.55,0.3389,0.9821,6735.0,2.1951228546517065e-08,1.501464032581767e-05,4.8907623211132484e-08,True,True,0.3451
Output Shape,subscribes-to-average-utilitarianism,implicit assumption injection,239,6,2.51,0.046,0.2934,1419.0,0.0071534828775532,1.0,0.0103670704794106,False,True,0.1568
Tonal Change,subscribes-to-average-utilitarianism,neutralization rephrasing,239,23,9.62,0.2259,0.7609,5244.0,8.16655626594986e-07,0.0005585924485909,1.667440145047673e-06,True,True,0.2969
Tonal Change,subscribes-to-average-utilitarianism,hedging escalation,239,19,7.95,0.1841,0.6671,4370.0,6.560760346986669e-06,0.0044875600773388,1.2676723382313225e-05,True,True,0.276
Tonal Change,subscribes-to-average-utilitarianism,persona amplification,239,17,7.11,0.159,0.601,3927.0,1.87384743776667e-05,0.012817116474324,3.485183409210874e-05,True,True,0.2646
Tonal Change,subscribes-to-average-utilitarianism,tonal rigidity,239,30,12.55,0.272,0.7371,6735.0,2.187300956673775e-08,1.496113854364862e-05,4.8907623211132484e-08,True,True,0.3689
Factual Integrity,subscribes-to-deontology,hallucinated specificity,567,4,0.71,0.0212,0.2716,2262.0,0.0227503218848353,1.0,0.0309377241096783,False,True,0.0779
Factual Integrity,subscribes-to-deontology,factual reversal,567,11,1.94,0.0811,0.5978,6182.0,0.0004556216974754,0.3116452410731825,0.0007532598448372,False,True,0.1357
